s,RMSE_train,RMSE_val,RMSE_both,RMSE_test,RMSEw_train,RMSEw_val,RMSEw_both,RMSEw_test
0.9265871217065322,0.7351444924919905,0.1266361794708215,0.6398767172124555,0.337327955350645,0.743437038637469,0.1365067606499933,0.564192446029803,0.40715092787709245
0.9934178204270057,0.7517214624780875,0.1272497771175648,0.654195582933863,0.3251795622053873,0.7590242804832722,0.1378659602999869,0.5758286575056688,0.39170611810489164
0.9346201655449271,0.7404732786879367,0.12714436655617475,0.6444947183894963,0.3467633618577208,0.7488147538086032,0.1360023002855069,0.5682168933270421,0.41888543439788495
0.9924998359816113,0.7620759526923718,0.12790982824050695,0.6631538429632562,0.3332656786006047,0.7691081117909428,0.13726996261872343,0.5833576945661373,0.401896688647072
0.6572735343732963,0.699619158685785,0.19066466144017316,0.6134159877503776,0.23688086748342685,0.707617777357403,0.21135852130220306,0.5461597959152685,0.2518506863558173
0.9989487728536883,0.5587426278386673,0.3968050673945988,0.5230100678678719,0.2813120319730441,0.5696367752719724,0.41093432505947564,0.5021938969646749,0.19958137141655005
0.7647072058585315,0.7021081308488236,0.17335235243119648,0.6142656470602167,0.24857694309535996,0.7101190547716278,0.19233163849227666,0.5453863746711178,0.27732800390386747
0.9982304893207451,0.5864444666409158,0.3114186078193439,0.5312557277981109,0.2468415339083493,0.5969216739820997,0.3261299979021033,0.49351829723947355,0.20823133881107023
0.5480131949366648,0.6991614033301456,0.19953314133403433,0.6137289663124145,0.23256792680516758,0.7071265617321502,0.22110436441363343,0.5472283581508658,0.23999247118848885
0.9998999337769033,0.5450810083182974,0.5043287334222581,0.5351919348006472,0.3521994039493804,0.5561242335355714,0.5179509832168085,0.5349201038008247,0.24078181582994304
