s,RMSE_train,RMSE_val,RMSE_both,RMSE_test,RMSEw_train,RMSEw_val,RMSEw_both,RMSEw_test
0.8127825598245106,0.5176373493811761,0.7016736091084874,0.5692152040864296,1.464818715572118,0.5623976879272466,0.8575630571655318,0.6390965052757511,1.6516037261527627
0.9988615689633396,0.41488936426967093,0.34123688825777526,0.39776993878233263,0.6825604893068957,0.4545104717714121,0.3264483554819572,0.408123720405112,0.8241652581154971
0.8170028393207143,0.5178272444489745,0.7016811946300519,0.569347096896821,1.464590836950808,0.562691409042172,0.857554647542297,0.6392444380554281,1.6513347290555005
0.9998975567892756,0.40864670665763975,0.35916543132199225,0.396864123781925,0.5641163287009644,0.4520246011865384,0.2845425081623936,0.4103633380390775,0.6956150240712695
0.7563605217575435,0.5160719384290531,0.7027823585397304,0.5684901222921348,1.4689712739590195,0.5598096002491537,0.8590091386592711,0.6383947812376651,1.6562671855988165
0.9993960535982224,0.41014342474027976,0.3470008480871456,0.3953157365268321,0.6145107820325825,0.4516942237096333,0.2980770860298083,0.4068241382435433,0.7507137388427751
0.7642359916365355,0.5162072314198035,0.7025189159329798,0.5685009280936636,1.4682882670685062,0.5600559865782848,0.8586871970915075,0.638380740988257,1.6555156543263618
0.9992280325201044,0.4112561298849012,0.34406630599822696,0.39554212193678573,0.6346925056267447,0.45216146567833976,0.3054347397002459,0.4065240483993118,0.7725951051452749
1.0066222725878432e-05,0.5149079283610256,0.7315746875411488,0.5767128080835686,1.5271698947437347,0.5530165632631455,0.8929778181213804,0.6499865590905047,1.7190981538945571
0.9998999337730057,0.4086453387814136,0.35918999130062973,0.39686861992396805,0.5641245131834662,0.4520141614597215,0.28454560510834687,0.41036505027136083,0.6956275132620713
